start,end,distance_diff_m,terrain_max_diff_m,cruise_diff_m,up_diff_m,down_diff_m
O01,S001,0.0,0.0,0.0,0.0,0.0
O01,S002,0.0,0.0,0.0,0.0,0.0
O01,S003,0.0,0.0,0.0,0.0,0.0
O01,S004,0.0,0.0,0.0,0.0,0.0
O01,S005,0.0,0.0,0.0,0.0,0.0
O01,S006,0.0,0.0,0.0,0.0,0.0
O01,S007,0.0,0.0,0.0,0.0,0.0
O01,S008,0.0,0.0,0.0,0.0,0.0
O01,S009,0.0,0.0,0.0,0.0,0.0
O01,S010,0.0,0.0,0.0,0.0,0.0
O01,S011,0.0,0.0,0.0,0.0,0.0
O01,S012,0.0,0.0,0.0,0.0,0.0
O01,S013,0.0,0.0,0.0,0.0,0.0
O01,S014,0.0,0.0,0.0,0.0,0.0
O01,S015,0.0,0.0,0.0,0.0,0.0
S001,O01,0.0,0.0,0.0,0.0,0.0
S001,S002,0.0,0.0,0.0,0.0,0.0
S001,S003,0.0,0.0,0.0,0.0,0.0
S001,S004,0.0,0.0,0.0,0.0,0.0
S001,S005,0.0,0.0,0.0,0.0,0.0
S001,S006,0.0,0.0,0.0,0.0,0.0
S001,S007,0.0,0.0,0.0,0.0,0.0
S001,S008,0.0,0.0,0.0,0.0,0.0
S001,S009,0.0,0.0,0.0,0.0,0.0
S001,S010,0.0,0.0,0.0,0.0,0.0
S001,S011,0.0,0.0,0.0,0.0,0.0
S001,S012,0.0,0.0,0.0,0.0,0.0
S001,S013,0.0,0.0,0.0,0.0,0.0
S001,S014,0.0,0.0,0.0,0.0,0.0
S001,S015,0.0,0.0,0.0,0.0,0.0
S002,O01,0.0,0.0,0.0,0.0,0.0
S002,S001,0.0,0.0,0.0,0.0,0.0
S002,S003,0.0,0.0,0.0,0.0,0.0
S002,S004,0.0,0.0,0.0,0.0,0.0
S002,S005,0.0,0.0,0.0,0.0,0.0
S002,S006,0.0,0.0,0.0,0.0,0.0
S002,S007,0.0,0.0,0.0,0.0,0.0
S002,S008,0.0,0.0,0.0,0.0,0.0
S002,S009,0.0,0.0,0.0,0.0,0.0
S002,S010,0.0,0.0,0.0,0.0,0.0
S002,S011,0.0,0.0,0.0,0.0,0.0
S002,S012,0.0,0.0,0.0,0.0,0.0
S002,S013,0.0,0.0,0.0,0.0,0.0
S002,S014,0.0,0.0,0.0,0.0,0.0
S002,S015,0.0,0.0,0.0,0.0,0.0
S003,O01,0.0,0.0,0.0,0.0,0.0
S003,S001,0.0,0.0,0.0,0.0,0.0
S003,S002,0.0,0.0,0.0,0.0,0.0
S003,S004,0.0,0.0,0.0,0.0,0.0
S003,S005,0.0,0.0,0.0,0.0,0.0
S003,S006,0.0,0.0,0.0,0.0,0.0
S003,S007,0.0,0.0,0.0,0.0,0.0
S003,S008,0.0,0.0,0.0,0.0,0.0
S003,S009,0.0,0.0,0.0,0.0,0.0
S003,S010,0.0,0.0,0.0,0.0,0.0
S003,S011,0.0,0.0,0.0,0.0,0.0
S003,S012,0.0,0.0,0.0,0.0,0.0
S003,S013,0.0,0.0,0.0,0.0,0.0
S003,S014,0.0,0.0,0.0,0.0,0.0
S003,S015,0.0,0.0,0.0,0.0,0.0
S004,O01,0.0,0.0,0.0,0.0,0.0
S004,S001,0.0,0.0,0.0,0.0,0.0
S004,S002,0.0,0.0,0.0,0.0,0.0
S004,S003,0.0,0.0,0.0,0.0,0.0
S004,S005,0.0,0.0,0.0,0.0,0.0
S004,S006,0.0,0.0,0.0,0.0,0.0
S004,S007,0.0,0.0,0.0,0.0,0.0
S004,S008,0.0,0.0,0.0,0.0,0.0
S004,S009,0.0,0.0,0.0,0.0,0.0
S004,S010,0.0,0.0,0.0,0.0,0.0
S004,S011,0.0,0.0,0.0,0.0,0.0
S004,S012,0.0,0.0,0.0,0.0,0.0
S004,S013,0.0,0.0,0.0,0.0,0.0
S004,S014,0.0,0.0,0.0,0.0,0.0
S004,S015,0.0,0.0,0.0,0.0,0.0
S005,O01,0.0,0.0,0.0,0.0,0.0
S005,S001,0.0,0.0,0.0,0.0,0.0
S005,S002,0.0,0.0,0.0,0.0,0.0
S005,S003,0.0,0.0,0.0,0.0,0.0
S005,S004,0.0,0.0,0.0,0.0,0.0
S005,S006,0.0,0.0,0.0,0.0,0.0
S005,S007,0.0,0.0,0.0,0.0,0.0
