service_id,old_distance_m,utm_distance_m,distance_diff_m,distance_diff_pct,old_max_dem_m,utm_max_dem_m,dem_diff_m,old_cruise_alt_m,utm_cruise_alt_m,old_climb_m,utm_climb_m,old_descent_m,utm_descent_m
S001,3054.024,3053.989,-0.035,-0.0011,223.05661010742188,223.05661010742188,0.0,273.0566101074219,273.0566101074219,145.3566101074219,145.3566101074219,89.05661010742188,89.05661010742188
S002,7411.534,7411.308,-0.226,-0.0031,258.9542541503906,258.9542541503906,0.0,308.9542541503906,308.9542541503906,181.25425415039064,181.25425415039064,89.45425415039062,89.45425415039062
S003,7263.827,7263.328,-0.499,-0.0069,511.80413818359375,511.80413818359375,0.0,561.8041381835938,561.8041381835938,434.10413818359376,434.10413818359376,223.30413818359375,223.30413818359375
S004,7714.682,7714.729,0.048,0.0006,348.2391662597656,348.2391662597656,0.0,398.2391662597656,398.2391662597656,270.53916625976564,270.53916625976564,169.9391662597656,169.9391662597656
S005,5280.593,5280.642,0.048,0.0009,276.410888671875,276.410888671875,0.0,326.410888671875,326.410888671875,198.710888671875,198.710888671875,131.410888671875,131.410888671875
S006,3186.199,3186.251,0.052,0.0016,316.09783935546875,316.09783935546875,0.0,366.09783935546875,366.09783935546875,238.39783935546876,238.39783935546876,51.29783935546874,51.29783935546874
S007,4534.717,4534.528,-0.189,-0.0042,461.9731750488281,461.9731750488281,0.0,511.9731750488281,511.9731750488281,384.27317504882814,384.27317504882814,163.47317504882812,163.47317504882812
S008,8079.11,8079.115,0.004,0.0001,322.9093322753906,322.9093322753906,0.0,372.9093322753906,372.9093322753906,245.20933227539064,245.20933227539064,102.00933227539065,102.00933227539065
S009,5705.303,5705.149,-0.155,-0.0027,243.22891235351562,243.22891235351562,0.0,293.2289123535156,293.2289123535156,165.52891235351564,165.52891235351564,63.228912353515625,63.228912353515625
S010,4784.675,4784.475,-0.2,-0.0042,385.63653564453125,385.63653564453125,0.0,435.63653564453125,435.63653564453125,307.93653564453126,307.93653564453126,84.03653564453123,84.03653564453123
S011,2808.106,2808.098,-0.008,-0.0003,245.36175537109375,245.36175537109375,0.0,295.36175537109375,295.36175537109375,167.66175537109376,167.66175537109376,83.26175537109376,83.26175537109376
S012,7391.14,7390.448,-0.692,-0.0094,363.3009948730469,363.3009948730469,0.0,413.3009948730469,413.3009948730469,285.6009948730469,285.6009948730469,133.50099487304686,133.50099487304686
S013,4849.537,4849.227,-0.31,-0.0064,349.18182373046875,349.18182373046875,0.0,399.18182373046875,399.18182373046875,271.48182373046876,271.48182373046876,47.48182373046876,47.48182373046876
S014,5419.536,5419.57,0.034,0.0006,541.9473876953125,541.9473876953125,0.0,591.9473876953125,591.9473876953125,464.2473876953125,464.2473876953125,240.9473876953125,240.9473876953125
S015,6009.765,6009.473,-0.292,-0.0049,521.7992553710938,521.7992553710938,0.0,571.7992553710938,571.7992553710938,444.09925537109376,444.09925537109376,97.29925537109375,97.29925537109375
