site,model,box_ids,mass_kg,volume_m3,flight_s,preparation_s,handover_s,operation_s,energy_kwh,soc_pct,trip_id
S001,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02,76,0.231,618.1703918789086,570,504,1692.1703918789085,2.917555936276858,63.53055079653927,Q1-001
S001,C,S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-03,78,0.163,618.1703918789086,480,396,1494.1703918789085,2.9957427645470043,62.55321544316244,Q1-002
S002,B,S002-MED-01;S002-WAT-01;S002-FOD-01,25,0.067,1186.6939339219116,390,240,1816.6939339219116,2.7133927146782657,32.16518213304336,Q1-003
S002,C,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,56,0.14400000000000002,1231.8120186387082,450,360,2041.8120186387082,5.721185016831143,28.485187289610714,Q1-004
S003,B,S003-MED-01;S003-WAT-01;S003-FOD-01,25,0.067,1450.5430982758826,390,240,2080.5430982758826,2.7799008904293254,30.502477739266865,Q1-005
S003,C,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,56,0.14400000000000002,1560.1111443370803,450,360,2370.11114433708,5.7649867062581315,27.93766617177336,Q1-006
S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,59,0.156,1425.0610665932259,480,396,2301.061066593226,6.152897007997538,23.088787400030775,Q1-007
S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59,0.156,1001.1951581955425,480,396,1877.1951581955425,4.222174803509862,47.222814956126726,Q1-008
S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59,0.156,685.5595259403467,480,396,1561.5595259403467,2.597976385693237,67.52529517883454,Q1-009
S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45,0.129,1097.5754478361764,450,360,1907.5754478361764,3.4108701395927064,57.36412325509117,Q1-010
S008,B,S008-MED-01;S008-WAT-01;S008-FOD-01,25,0.067,1331.842307167044,390,240,1961.842307167044,2.9752083647603644,25.61979088099089,Q1-011
S008,B,S008-WAT-02;S008-HYG-01,20,0.062,1331.842307167044,360,210,1901.842307167044,2.763432587771086,30.914185305722853,Q1-012
S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25,0.067,928.4422473944054,390,240,1558.4422473944055,2.096210537071613,47.59473657320967,Q1-013
S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25,0.067,925.376902446339,390,240,1555.376902446339,1.8231457316476738,54.421356708808155,Q1-014
S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25,0.067,558.4236501116584,390,240,1188.4236501116584,1.0739337252090841,73.15165686977289,Q1-015
S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25,0.067,1292.7345559700407,390,240,1922.7345559700407,2.752354441902028,31.191138952449304,Q1-016
S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25,0.067,880.4702802929444,390,240,1510.4702802929444,1.8247182633032644,54.38204341741839,Q1-017
S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25,0.067,1239.7521946190163,390,240,1869.7521946190163,2.1403030047614893,46.492424880962766,Q1-018
S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25,0.067,1198.2885840204503,390,240,1828.2885840204503,2.3074247845590747,42.31438038602313,Q1-019
