site,model,box_ids,mass_kg,volume_m3,flight_s,preparation_s,handover_s,operation_s,energy_kwh,soc_pct,trip_id
S001,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02,76,0.231,618.1750458620229,570,504,1692.175045862023,2.9175880955868267,63.530148805164664,Q1-001
S001,C,S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-03,78,0.163,618.1750458620229,480,396,1494.175045862023,2.995775804904669,62.552802438691636,Q1-002
S002,B,S002-MED-01;S002-WAT-01;S002-FOD-01,25,0.067,1186.7240813077574,390,240,1816.7240813077574,2.713472941241988,32.163176468950304,Q1-003
S002,C,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,56,0.14400000000000002,1231.8421660245544,450,360,2041.8421660245544,5.721356203945945,28.48304745067569,Q1-004
S003,B,S003-MED-01;S003-WAT-01;S003-FOD-01,25,0.067,1450.6096650380623,390,240,2080.6096650380623,2.7800780342326075,30.49804914418481,Q1-005
S003,C,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,56,0.14400000000000002,1560.1777110992603,450,360,2370.1777110992603,5.7653646949838375,27.93294131270203,Q1-006
S004,B,S004-MED-01;S004-WAT-01;S004-FOD-01,25,0.067,1351.641663352524,390,240,1981.641663352524,2.871231024585248,28.2192243853688,Q1-007
S004,C,S004-WAT-02;S004-WAT-03;S004-HYG-01,34,0.089,1425.0547187724458,390,288,2103.054718772446,5.315023517456996,33.56220603178755,Q1-008
S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59,0.156,1001.1887154914712,480,396,1877.1887154914712,4.222137373445114,47.223282831936075,Q1-009
S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59,0.156,685.5526244866224,480,396,1561.5526244866223,2.5979362904386822,67.52579636951648,Q1-010
S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45,0.129,1097.6006984106912,450,360,1907.6006984106912,3.4110038084433194,57.36245239445851,Q1-011
S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,45,0.129,1389.7115246008332,450,360,2199.7115246008334,5.836020667966359,27.04974165042051,Q1-012
S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25,0.067,928.4628643343575,390,240,1558.4628643343576,2.0962654017373348,47.59336495656663,Q1-013
S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25,0.067,925.4035197802173,390,240,1555.4035197802173,1.823216564231414,54.41958589421465,Q1-014
S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25,0.067,558.4247628605204,390,240,1188.4247628605203,1.0739366863951036,73.15158284012242,Q1-015
S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25,0.067,1292.8268141491867,390,240,1922.8268141491867,2.7525999542899324,31.185001142751688,Q1-016
S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25,0.067,880.5115887445249,390,240,1510.511588744525,1.8248281910807473,54.37929522298132,Q1-017
S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25,0.067,1239.7476752786915,390,240,1869.7476752786915,2.1402909781417883,46.49272554645529,Q1-018
S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25,0.067,1198.3275601736595,390,240,1828.3275601736595,2.3075285057525154,42.31178735618711,Q1-019
