start,end,distance_m,terrain_max_m,cruise_m,up_m,down_m,cells
O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136
O01,S002,7411.3077087600395,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,323
O01,S003,7263.327717049588,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,338
O01,S004,7714.729254942357,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,276
O01,S005,5280.641689396256,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181
O01,S006,3186.2506132537724,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,116
O01,S007,4534.527995612143,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,213
O01,S008,8079.114648723534,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,321
O01,S009,5705.148819569368,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,253
O01,S010,4784.4748762577,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,203
O01,S011,2808.0980667554063,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,123
O01,S012,7390.448226171789,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,354
O01,S013,4849.227041161927,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,228
O01,S014,5419.570194994185,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,203
O01,S015,6009.4725710713465,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,286
S001,O01,3053.9887026416195,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136
S001,S002,4360.583296159151,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,188
S001,S003,7658.877073356862,505.94439697265625,555.9443969726562,371.94439697265625,217.44439697265625,293
S001,S004,4927.685077092135,358.7777404785156,408.7777404785156,224.77774047851562,180.4777404785156,179
S001,S005,2928.051014416286,266.13800048828125,316.13800048828125,132.13800048828125,121.13800048828125,136
S001,S006,5296.222882741628,343.9356384277344,393.9356384277344,209.93563842773438,79.13563842773436,251
S001,S007,5187.9451632434675,389.17535400390625,439.17535400390625,255.17535400390625,90.67535400390625,198
S001,S008,5968.25120581325,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,276
S001,S009,2651.192882489132,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,118
S001,S010,3709.8679827658466,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,170
S001,S011,2354.1055732574127,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,90
S001,S012,4697.642373124702,385.599609375,435.599609375,251.599609375,155.799609375,219
S001,S013,2898.808210595323,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,111
S001,S014,5196.165768976297,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,248
S001,S015,5500.145051309811,547.315185546875,597.315185546875,413.315185546875,122.815185546875,241
S002,O01,7411.3077087600395,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,323
S002,S001,4360.583296159151,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,188
S002,S003,9776.142449755573,571.1314086914062,621.1314086914062,401.63140869140625,282.63140869140625,432
S002,S004,2248.0126451390474,283.658203125,333.658203125,114.158203125,105.35820312499999,102
S002,S005,3475.747222123688,356.79864501953125,406.79864501953125,187.29864501953125,211.79864501953125,161
S002,S006,9184.93169340433,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,438
S002,S007,8118.349331842346,424.7281799316406,474.7281799316406,255.22817993164062,126.22817993164062,385
S002,S008,4802.378753349625,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,199
S002,S009,1724.5371854317061,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,71
S002,S010,5916.973271945042,441.85394287109375,491.85394287109375,272.35394287109375,140.25394287109373,247
S002,S011,5781.685303668939,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876,277
S002,S012,3071.2376714889047,358.1782531738281,408.1782531738281,188.67825317382812,128.3782531738281,146
S002,S013,4540.089176325996,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,188
S002,S014,7654.536694856435,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,325
S002,S015,7164.449951190659,593.7526245117188,643.7526245117188,424.25262451171875,169.25262451171875,314
S003,O01,7263.327717049588,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,338
S003,S001,7658.877073356862,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,293
S003,S002,9776.142449755573,571.1314086914062,621.1314086914062,282.63140869140625,401.63140869140625,432
S003,S004,8232.130840491176,674.2682495117188,724.2682495117188,385.76824951171875,495.96824951171874,385
S003,S005,6340.379888203667,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,272
S003,S006,4801.077753250744,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,229
S003,S007,2734.3416585066943,360.6993408203125,410.6993408203125,72.1993408203125,62.1993408203125,126
S003,S008,6254.221384474937,746.0787353515625,796.0787353515625,457.5787353515625,525.1787353515625,300
S003,S009,8897.670098915323,544.588134765625,594.588134765625,256.088134765625,364.588134765625,362
S003,S010,11224.45382696178,466.96417236328125,516.9641723632812,178.46417236328125,165.36417236328123,462
S003,S011,5356.740311307252,485.42230224609375,535.4223022460938,196.92230224609375,323.3223022460937,216
S003,S012,11817.06021604029,544.5889282226562,594.5889282226562,256.08892822265625,314.78892822265624,463
S003,S013,10557.683640846837,505.94439697265625,555.9443969726562,217.44439697265625,204.24439697265626,403
S003,S014,12385.817598077894,542.7295532226562,592.7295532226562,254.22955322265625,241.72955322265625,540
S003,S015,2616.443590450246,437.89886474609375,487.89886474609375,149.39886474609375,13.39886474609375,119
S004,O01,7714.729254942357,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,276
S004,S001,4927.685077092135,358.7777404785156,408.7777404785156,180.4777404785156,224.77774047851562,179
S004,S002,2248.0126451390474,283.658203125,333.658203125,105.35820312499999,114.158203125,102
S004,S003,8232.130840491176,674.2682495117188,724.2682495117188,495.96824951171874,385.76824951171875,385
S004,S005,2608.1537937206454,315.80657958984375,365.80657958984375,137.50657958984374,170.80657958984375,114
S004,S006,8706.053721545934,375.2806396484375,425.2806396484375,196.9806396484375,110.48063964843749,391
S004,S007,7096.510647652687,543.2369995117188,593.2369995117188,364.93699951171874,244.73699951171875,338
S004,S008,2611.617759974614,336.83349609375,386.83349609375,158.53349609375,115.93349609375002,98
S004,S009,2985.0854623456266,275.2157897949219,325.2157897949219,96.91578979492186,95.21578979492188,140
S004,S010,7545.159157620949,432.957275390625,482.957275390625,254.657275390625,131.35727539062498,348
S004,S011,5403.770194919544,311.138916015625,361.138916015625,132.838916015625,149.038916015625,230
S004,S012,5285.086362455041,312.0069580078125,362.0069580078125,133.7069580078125,82.20695800781249,247
S004,S013,6196.193949099162,322.2989807128906,372.2989807128906,143.9989807128906,20.598980712890636,289
S004,S014,9293.70815946011,505.3861083984375,555.3861083984375,327.0861083984375,204.3861083984375,426
S004,S015,5648.353523273213,641.2510375976562,691.2510375976562,462.95103759765624,216.75103759765625,267
S005,O01,5280.641689396256,276.410888671875,326.410888671875,131.410888671875,198.710888671875,181
S005,S001,2928.051014416286,266.13800048828125,316.13800048828125,121.13800048828125,132.13800048828125,136
S005,S002,3475.747222123688,356.79864501953125,406.79864501953125,211.79864501953125,187.29864501953125,161
S005,S003,6340.379888203667,533.8880615234375,583.8880615234375,388.8880615234375,245.3880615234375,272
S005,S004,2608.1537937206454,315.80657958984375,365.80657958984375,170.80657958984375,137.50657958984374,114
S005,S006,6107.202021573166,366.7322998046875,416.7322998046875,221.7322998046875,101.93229980468749,278
S005,S007,4688.041017649517,467.1478271484375,517.1478271484375,322.1478271484375,168.6478271484375,225
