reserve,site,model,max_payload_kg,reachable
0.1,S001,A,25.0,True
0.1,S001,B,30.0,True
0.1,S001,C,80.0,True
0.1,S002,A,25.0,True
0.1,S002,B,30.0,True
0.1,S002,C,78.59434385451668,True
0.1,S003,A,25.0,True
0.1,S003,B,30.0,True
0.1,S003,C,78.23099329466756,True
0.1,S004,A,25.0,True
0.1,S004,B,30.0,True
0.1,S004,C,74.88468066393195,True
0.1,S005,A,25.0,True
0.1,S005,B,30.0,True
0.1,S005,C,80.0,True
0.1,S006,A,25.0,True
0.1,S006,B,30.0,True
0.1,S006,C,80.0,True
0.1,S007,A,25.0,True
0.1,S007,B,30.0,True
0.1,S007,C,80.0,True
0.1,S008,A,25.0,True
0.1,S008,B,30.0,True
0.1,S008,C,71.43798196788504,True
0.1,S009,A,25.0,True
0.1,S009,B,30.0,True
0.1,S009,C,80.0,True
0.1,S010,A,25.0,True
0.1,S010,B,30.0,True
0.1,S010,C,80.0,True
0.1,S011,A,25.0,True
0.1,S011,B,30.0,True
0.1,S011,C,80.0,True
0.1,S012,A,25.0,True
0.1,S012,B,30.0,True
0.1,S012,C,78.09297906690854,True
0.1,S013,A,25.0,True
0.1,S013,B,30.0,True
0.1,S013,C,80.0,True
0.1,S014,A,25.0,True
0.1,S014,B,30.0,True
0.1,S014,C,80.0,True
0.1,S015,A,25.0,True
0.1,S015,B,30.0,True
0.1,S015,C,80.0,True
0.15,S001,A,25.0,True
0.15,S001,B,30.0,True
0.15,S001,C,80.0,True
0.15,S002,A,25.0,True
0.15,S002,B,30.0,True
0.15,S002,C,74.24172356006655,True
0.15,S003,A,25.0,True
0.15,S003,B,30.0,True
0.15,S003,C,73.75194527870863,True
0.15,S004,A,25.0,True
0.15,S004,B,30.0,True
0.15,S004,C,69.91384433268497,True
0.15,S005,A,25.0,True
0.15,S005,B,30.0,True
0.15,S005,C,80.0,True
0.15,S006,A,25.0,True
0.15,S006,B,30.0,True
0.15,S006,C,80.0,True
0.15,S007,A,25.0,True
0.15,S007,B,30.0,True
0.15,S007,C,80.0,True
0.15,S008,A,25.0,True
0.15,S008,B,30.0,True
0.15,S008,C,65.90239390964803,True
0.15,S009,A,25.0,True
0.15,S009,B,30.0,True
