trip_id,drone_id,type_id,battery_id,occupancy_start_s,use_end_s,initial_soc,task_end_soc,charge_start_s,charge_end_s,next_available_s,charged_soc
T001,U07,C,BAT-C-01,0.0,1495.5595259403467,1.0,0.6933079264874971,1495.5595259403467,2993.392351884103,2993.392351884103,1.0
T002,U05,B,BAT-B-01,0.0,1869.7521946190163,1.0,0.4649242488096277,1869.7521946190163,3463.8834966823283,3463.8834966823283,1.0
T003,U08,C,BAT-C-02,0.0,1907.5754478361766,1.0,0.5736412325509117,1907.5754478361766,3664.6861106425345,3664.6861106425345,1.0
T004,U06,B,BAT-B-02,0.0,1510.4702802929446,1.0,0.5438204341741839,1510.4702802929446,2967.8481943910256,2967.8481943910256,1.0
T005,U07,C,BAT-C-03,1495.5595259403467,2989.7299178192557,1.0,0.6848556686459625,2989.7299178192557,4505.875969086337,4505.875969086337,1.0
T006,U01,A,BAT-A-01,0.0,1654.8593983215953,1.0,0.5655978254576951,1654.8593983215953,2719.5822252265916,2719.5822252265916,1.0
T007,U08,C,BAT-C-04,1907.5754478361766,4015.387466474885,1.0,0.21490222160615335,4015.387466474885,6549.76598632822,6549.76598632822,1.0
T008,U06,B,BAT-B-03,1510.4702802929446,3433.204836262985,1.0,0.31191138952449315,3433.204836262985,5292.558427753864,5292.558427753864,1.0
T009,U02,A,BAT-A-02,0.0,1968.6043363894948,1.0,0.4683705042172335,1968.6043363894948,3159.7226809070917,3159.7226809070917,1.0
T010,U03,A,BAT-A-03,0.0,2171.146128791162,1.0,0.28891072394588113,2171.146128791162,3595.5621876615164,3595.5621876615164,1.0
T011,U07,C,BAT-C-01,2993.392351884103,5294.453418477328,1.0,0.23088787400030764,5294.453418477328,7794.196358143328,7794.196358143328,1.0
T012,U08,C,BAT-C-02,4015.387466474885,6517.498610811965,1.0,0.2094894732576289,6517.498610811965,9063.604752087102,9063.604752087102,1.0
T013,U05,B,BAT-B-04,1869.7521946190163,3058.175844730675,1.0,0.731516568697729,3058.175844730675,4190.213792321279,4190.213792321279,1.0
T014,U05,B,BAT-B-02,3058.175844730675,4616.618092125082,1.0,0.4759473657320967,4616.618092125082,6191.6426581894475,6191.6426581894475,1.0
T015,U07,C,BAT-C-03,5294.453418477328,6973.648576672872,1.0,0.5440747133309483,6973.648576672872,8794.820031122483,8794.820031122483,1.0
T016,U04,A,BAT-A-04,0.0,1250.9011452644886,1.0,0.7150389759477697,1250.9011452644886,2121.350476532388,2121.350476532388,1.0
T017,U06,B,BAT-B-01,3463.8834966823283,5220.577430604239,1.0,0.4096911238497911,5220.577430604239,6910.446149264601,6910.446149264601,1.0
T018,U04,A,BAT-A-05,1250.9011452644886,2501.802290528977,1.0,0.7150389759477697,2501.802290528977,3372.2516217968764,3372.2516217968764,1.0
T019,U01,A,BAT-A-06,1654.8593983215953,4239.208147471937,1.0,0.2910735080997361,4239.208147471937,5660.81258694228,5660.81258694228,1.0
T020,U02,A,BAT-A-04,2121.350476532388,3372.2516217968764,1.0,0.7150389759477697,3372.2516217968764,4242.700953064776,4242.700953064776,1.0
T021,U03,A,BAT-A-01,2719.5822252265916,4751.356595274209,1.0,0.4759426354442685,4751.356595274209,5932.63116919666,5932.63116919666,1.0
T022,U05,B,BAT-B-04,4616.618092125082,6776.454099308604,1.0,0.34745841495186813,6776.454099308604,8574.192846725366,8574.192846725366,1.0
T023,U04,A,BAT-A-02,3159.7226809070917,4851.918932525218,1.0,0.5285988724357908,4851.918932525218,5964.74039835869,5964.74039835869,1.0
T024,U06,B,BAT-B-03,5292.558427753864,6441.659949596966,1.0,0.7525325729370647,6441.659949596966,7537.270156506053,7537.270156506053,1.0
T025,U02,A,BAT-A-05,3372.2516217968764,5543.3977505880375,1.0,0.2647938182116787,5543.3977505880375,6999.165786912856,6999.165786912856,1.0
T026,U01,A,BAT-A-03,4239.208147471937,6147.812483861433,1.0,0.4601617771979949,6147.812483861433,7349.6021735040395,7349.6021735040395,1.0
