box_id,destination,category,mass_kg,volume_m3,first,hard_due_s,desired_due_s,priority
S001-MED-01,S001,医疗物资,3,0.012,True,3600.0,3600,24
S001-MED-02,S001,医疗物资,3,0.012,False,3600.0,3600,24
S001-WAT-01,S001,饮用水,14,0.027,True,3600.0,3600,12
S001-WAT-02,S001,饮用水,14,0.027,False,,3600,12
S001-WAT-03,S001,饮用水,14,0.027,False,,3600,12
S001-WAT-04,S001,饮用水,14,0.027,False,,3600,12
S001-WAT-05,S001,饮用水,14,0.027,False,,3600,12
S001-WAT-06,S001,饮用水,14,0.027,False,,3600,12
S001-WAT-07,S001,饮用水,14,0.027,False,,3600,12
S001-WAT-08,S001,饮用水,14,0.027,False,,3600,12
S001-FOD-01,S001,应急食品,8,0.028,False,,7200,10
S001-FOD-02,S001,应急食品,8,0.028,False,,7200,10
S001-FOD-03,S001,应急食品,8,0.028,False,,7200,10
S001-HYG-01,S001,生活卫生用品,6,0.035,False,,10800,8
S001-HYG-02,S001,生活卫生用品,6,0.035,False,,10800,8
S002-MED-01,S002,医疗物资,3,0.012,True,3600.0,3600,24
S002-WAT-01,S002,饮用水,14,0.027,True,3600.0,3600,12
S002-WAT-02,S002,饮用水,14,0.027,False,,3600,12
S002-WAT-03,S002,饮用水,14,0.027,False,,3600,12
S002-WAT-04,S002,饮用水,14,0.027,False,,3600,12
S002-FOD-01,S002,应急食品,8,0.028,False,,7200,10
S002-FOD-02,S002,应急食品,8,0.028,False,,7200,10
S002-HYG-01,S002,生活卫生用品,6,0.035,False,,10800,8
S003-MED-01,S003,医疗物资,3,0.012,True,7200.0,7200,20
S003-WAT-01,S003,饮用水,14,0.027,True,7200.0,7200,10
S003-WAT-02,S003,饮用水,14,0.027,False,,7200,10
S003-WAT-03,S003,饮用水,14,0.027,False,,7200,10
S003-WAT-04,S003,饮用水,14,0.027,False,,7200,10
S003-FOD-01,S003,应急食品,8,0.028,False,,10800,8
S003-FOD-02,S003,应急食品,8,0.028,False,,10800,8
S003-HYG-01,S003,生活卫生用品,6,0.035,False,,14400,6
S004-MED-01,S004,医疗物资,3,0.012,True,7200.0,7200,20
S004-WAT-01,S004,饮用水,14,0.027,True,7200.0,7200,10
S004-WAT-02,S004,饮用水,14,0.027,False,,7200,10
S004-WAT-03,S004,饮用水,14,0.027,False,,7200,10
S004-FOD-01,S004,应急食品,8,0.028,False,,10800,8
S004-HYG-01,S004,生活卫生用品,6,0.035,False,,14400,6
S005-MED-01,S005,医疗物资,3,0.012,True,10800.0,10800,16
S005-WAT-01,S005,饮用水,14,0.027,True,10800.0,10800,8
S005-WAT-02,S005,饮用水,14,0.027,False,,10800,8
S005-WAT-03,S005,饮用水,14,0.027,False,,10800,8
S005-FOD-01,S005,应急食品,8,0.028,False,,14400,6
S005-HYG-01,S005,生活卫生用品,6,0.035,False,,18000,4
S006-MED-01,S006,医疗物资,3,0.012,True,3600.0,3600,24
S006-WAT-01,S006,饮用水,14,0.027,True,3600.0,3600,12
S006-WAT-02,S006,饮用水,14,0.027,False,,3600,12
S006-WAT-03,S006,饮用水,14,0.027,False,,3600,12
S006-FOD-01,S006,应急食品,8,0.028,False,,7200,10
S006-HYG-01,S006,生活卫生用品,6,0.035,False,,10800,8
S007-MED-01,S007,医疗物资,3,0.012,True,3600.0,3600,24
S007-WAT-01,S007,饮用水,14,0.027,True,3600.0,3600,12
S007-WAT-02,S007,饮用水,14,0.027,False,,3600,12
S007-FOD-01,S007,应急食品,8,0.028,False,,7200,10
S007-HYG-01,S007,生活卫生用品,6,0.035,False,,10800,8
S008-MED-01,S008,医疗物资,3,0.012,True,7200.0,7200,20
S008-WAT-01,S008,饮用水,14,0.027,True,7200.0,7200,10
S008-WAT-02,S008,饮用水,14,0.027,False,,7200,10
S008-FOD-01,S008,应急食品,8,0.028,False,,10800,8
S008-HYG-01,S008,生活卫生用品,6,0.035,False,,14400,6
S009-MED-01,S009,医疗物资,3,0.012,True,10800.0,10800,16
S009-WAT-01,S009,饮用水,14,0.027,True,10800.0,10800,8
S009-FOD-01,S009,应急食品,8,0.028,False,,14400,6
S010-MED-01,S010,医疗物资,3,0.012,True,3600.0,3600,24
S010-WAT-01,S010,饮用水,14,0.027,True,3600.0,3600,12
S010-FOD-01,S010,应急食品,8,0.028,False,,7200,10
S011-MED-01,S011,医疗物资,3,0.012,True,10800.0,10800,16
S011-WAT-01,S011,饮用水,14,0.027,True,10800.0,10800,8
S011-FOD-01,S011,应急食品,8,0.028,False,,14400,6
S012-MED-01,S012,医疗物资,3,0.012,True,3600.0,7200,22
S012-WAT-01,S012,饮用水,14,0.027,True,3600.0,3600,12
S012-FOD-01,S012,应急食品,8,0.028,False,,7200,10
S013-MED-01,S013,医疗物资,3,0.012,True,3600.0,3600,24
S013-WAT-01,S013,饮用水,14,0.027,True,3600.0,3600,12
S013-FOD-01,S013,应急食品,8,0.028,False,,7200,10
S014-MED-01,S014,医疗物资,3,0.012,True,3600.0,7200,22
S014-WAT-01,S014,饮用水,14,0.027,True,3600.0,3600,12
S014-FOD-01,S014,应急食品,8,0.028,False,,7200,10
S015-MED-01,S015,医疗物资,3,0.012,True,7200.0,7200,18
S015-WAT-01,S015,饮用水,14,0.027,True,10800.0,10800,8
S015-FOD-01,S015,应急食品,8,0.028,False,,14400,6
