trip_id,drone_id,type_id,battery_id,box_id,destination,category,mass_kg,volume_m3,first,hard_due_s,desired_due_s,priority,arrival_s,handover_start_s,delivery_complete_s,lateness_s
T001,U07,C,BAT-C-01,S006-WAT-01,S006,饮用水,14,0.027,True,3600.0,3600,12,783.4247629701733,783.4247629701733,1143.4247629701733,0
T001,U07,C,BAT-C-01,S006-MED-01,S006,医疗物资,3,0.012,True,3600.0,3600,24,783.4247629701733,783.4247629701733,1143.4247629701733,0
T001,U07,C,BAT-C-01,S006-WAT-02,S006,饮用水,14,0.027,False,,3600,12,783.4247629701733,783.4247629701733,1143.4247629701733,0
T001,U07,C,BAT-C-01,S006-HYG-01,S006,生活卫生用品,6,0.035,False,,10800,8,783.4247629701733,783.4247629701733,1143.4247629701733,0
T001,U07,C,BAT-C-01,S006-WAT-03,S006,饮用水,14,0.027,False,,3600,12,783.4247629701733,783.4247629701733,1143.4247629701733,0
T002,U05,B,BAT-B-01,S014-MED-01,S014,医疗物资,3,0.012,True,3600.0,7200,22,1002.4327639761749,1002.4327639761749,1242.432763976175,0
T002,U05,B,BAT-B-01,S014-WAT-01,S014,饮用水,14,0.027,True,3600.0,3600,12,1002.4327639761749,1002.4327639761749,1242.432763976175,0
T002,U05,B,BAT-B-01,S014-FOD-01,S014,应急食品,8,0.028,False,,7200,10,1002.4327639761749,1002.4327639761749,1242.432763976175,0
T003,U08,C,BAT-C-02,S007-MED-01,S007,医疗物资,3,0.012,True,3600.0,3600,24,987.7477239180882,987.7477239180882,1347.7477239180882,0
T003,U08,C,BAT-C-02,S007-WAT-01,S007,饮用水,14,0.027,True,3600.0,3600,12,987.7477239180882,987.7477239180882,1347.7477239180882,0
T003,U08,C,BAT-C-02,S007-WAT-02,S007,饮用水,14,0.027,False,,3600,12,987.7477239180882,987.7477239180882,1347.7477239180882,0
T003,U08,C,BAT-C-02,S007-FOD-01,S007,应急食品,8,0.028,False,,7200,10,987.7477239180882,987.7477239180882,1347.7477239180882,0
T003,U08,C,BAT-C-02,S007-HYG-01,S007,生活卫生用品,6,0.035,False,,10800,8,987.7477239180882,987.7477239180882,1347.7477239180882,0
T004,U06,B,BAT-B-02,S013-MED-01,S013,医疗物资,3,0.012,True,3600.0,3600,24,822.7684734798056,822.7684734798056,1062.7684734798056,0
T004,U06,B,BAT-B-02,S013-WAT-01,S013,饮用水,14,0.027,True,3600.0,3600,12,822.7684734798056,822.7684734798056,1062.7684734798056,0
T004,U06,B,BAT-B-02,S013-FOD-01,S013,应急食品,8,0.028,False,,7200,10,822.7684734798056,822.7684734798056,1062.7684734798056,0
T005,U07,C,BAT-C-03,S001-MED-01,S001,医疗物资,3,0.012,True,3600.0,3600,24,2281.829721879801,2281.829721879801,2677.829721879801,0
T005,U07,C,BAT-C-03,S001-MED-02,S001,医疗物资,3,0.012,False,3600.0,3600,24,2281.829721879801,2281.829721879801,2677.829721879801,0
T005,U07,C,BAT-C-03,S001-WAT-01,S001,饮用水,14,0.027,True,3600.0,3600,12,2281.829721879801,2281.829721879801,2677.829721879801,0
T005,U07,C,BAT-C-03,S001-WAT-07,S001,饮用水,14,0.027,False,,3600,12,2281.829721879801,2281.829721879801,2677.829721879801,0
T005,U07,C,BAT-C-03,S001-WAT-04,S001,饮用水,14,0.027,False,,3600,12,2281.829721879801,2281.829721879801,2677.829721879801,0
T005,U07,C,BAT-C-03,S001-WAT-08,S001,饮用水,14,0.027,False,,3600,12,2281.829721879801,2281.829721879801,2677.829721879801,0
T006,U01,A,BAT-A-01,S010-WAT-01,S010,饮用水,14,0.027,True,3600.0,3600,12,894.9663658274644,894.9663658274644,1104.9663658274644,0
T006,U01,A,BAT-A-01,S010-MED-01,S010,医疗物资,3,0.012,True,3600.0,3600,24,894.9663658274644,894.9663658274644,1104.9663658274644,0
T007,U08,C,BAT-C-04,S002-MED-01,S002,医疗物资,3,0.012,True,3600.0,3600,24,2998.891457155531,2998.891457155531,3394.891457155531,0
T007,U08,C,BAT-C-04,S002-WAT-01,S002,饮用水,14,0.027,True,3600.0,3600,12,2998.891457155531,2998.891457155531,3394.891457155531,0
T007,U08,C,BAT-C-04,S002-WAT-03,S002,饮用水,14,0.027,False,,3600,12,2998.891457155531,2998.891457155531,3394.891457155531,0
