trip_id,drone_id,type_id,battery_id,occupancy_start_s,return_s,occupancy_end_s,next_available_s
T001,U07,C,BAT-C-01,0.0,1495.5595259403467,1495.5595259403467,1495.5595259403467
T002,U05,B,BAT-B-01,0.0,1869.7521946190163,1869.7521946190163,1869.7521946190163
T003,U08,C,BAT-C-02,0.0,1907.5754478361766,1907.5754478361766,1907.5754478361766
T004,U06,B,BAT-B-02,0.0,1510.4702802929446,1510.4702802929446,1510.4702802929446
T005,U07,C,BAT-C-03,1495.5595259403467,2989.7299178192557,2989.7299178192557,2989.7299178192557
T006,U01,A,BAT-A-01,0.0,1654.8593983215953,1654.8593983215953,1654.8593983215953
T007,U08,C,BAT-C-04,1907.5754478361766,4015.387466474885,4015.387466474885,4015.387466474885
T008,U06,B,BAT-B-03,1510.4702802929446,3433.204836262985,3433.204836262985,3433.204836262985
T009,U02,A,BAT-A-02,0.0,1968.6043363894948,1968.6043363894948,1968.6043363894948
T010,U03,A,BAT-A-03,0.0,2171.146128791162,2171.146128791162,2171.146128791162
T011,U07,C,BAT-C-01,2993.392351884103,5294.453418477328,5294.453418477328,5294.453418477328
T012,U08,C,BAT-C-02,4015.387466474885,6517.498610811965,6517.498610811965,6517.498610811965
T013,U05,B,BAT-B-04,1869.7521946190163,3058.175844730675,3058.175844730675,3058.175844730675
T014,U05,B,BAT-B-02,3058.175844730675,4616.618092125082,4616.618092125082,4616.618092125082
T015,U07,C,BAT-C-03,5294.453418477328,6973.648576672872,6973.648576672872,6973.648576672872
T016,U04,A,BAT-A-04,0.0,1250.9011452644886,1250.9011452644886,1250.9011452644886
T017,U06,B,BAT-B-01,3463.8834966823283,5220.577430604239,5220.577430604239,5220.577430604239
T018,U04,A,BAT-A-05,1250.9011452644886,2501.802290528977,2501.802290528977,2501.802290528977
T019,U01,A,BAT-A-06,1654.8593983215953,4239.208147471937,4239.208147471937,4239.208147471937
T020,U02,A,BAT-A-04,2121.350476532388,3372.2516217968764,3372.2516217968764,3372.2516217968764
T021,U03,A,BAT-A-01,2719.5822252265916,4751.356595274209,4751.356595274209,4751.356595274209
T022,U05,B,BAT-B-04,4616.618092125082,6776.454099308604,6776.454099308604,6776.454099308604
T023,U04,A,BAT-A-02,3159.7226809070917,4851.918932525218,4851.918932525218,4851.918932525218
T024,U06,B,BAT-B-03,5292.558427753864,6441.659949596966,6441.659949596966,6441.659949596966
T025,U02,A,BAT-A-05,3372.2516217968764,5543.3977505880375,5543.3977505880375,5543.3977505880375
T026,U01,A,BAT-A-03,4239.208147471937,6147.812483861433,6147.812483861433,6147.812483861433
