iteration,weighted_soft_lateness_s,makespan_s,energy_kwh,trips
5,0,7646.002064503854,71.34192095274429,26
43,0,7361.931349409327,71.34192095274429,26
204,0,7233.986142608025,71.26751843409562,26
273,0,7167.986142608025,72.38498376041245,26
435,0,7167.986142608025,72.37372677686292,26
844,0,7122.572667934759,72.59416831724354,26
863,0,7122.572667934759,72.4879551563824,26
985,0,7105.648576672872,72.4879551563824,26
1626,0,7105.648576672872,72.46793762295455,26
1667,0,7039.648576672872,73.48974313712742,26
1718,0,7039.648576672872,73.30879762814273,26
2073,0,7039.648576672872,71.6082279239479,26
2904,0,7039.648576672872,71.48388508516871,26
3037,0,6973.648576672872,71.53857795165524,26
4454,0,6973.648576672872,71.45251062003933,26
4459,0,6973.648576672872,71.44096897841617,26
