trip_id,drone_id,type_id,battery_id,segment_id,origin,destination,distance_m,terrain_max_m,cruise_altitude_m,ascent_m,descent_m,cell_count,remaining_cargo_kg,ascent_duration_s,cruise_duration_s,descent_duration_s,ascent_energy_kwh,cruise_energy_kwh,descent_energy_kwh,handover_energy_kwh,total_energy_kwh,ascent_start_s,ascent_end_s,cruise_start_s,cruise_end_s,descent_start_s,descent_end_s,arrival_s,handover_start_s,handover_end_s,is_return,origin_x_m,origin_y_m,origin_work_altitude_m,destination_x_m,destination_y_m,destination_work_altitude_m
T001,U07,C,BAT-C-01,1,O01,S006,3186.250613253772,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,116,51,95.3591357421875,212.41670755025146,25.64891967773437,0.10904714363889688,1.3505383244314841,0.0,0.0,1.459585468070381,450.0,545.3591357421875,545.3591357421875,757.7758432924389,757.7758432924389,783.4247629701733,783.4247629701733,783.4247629701733,1143.4247629701733,0,318686.2012849663,2545556.1393078705,127.7,315500.3321695994,2545506.834640633,314.8
T001,U07,C,BAT-C-01,2,S006,O01,3186.250613253772,316.09783935546875,366.09783935546875,51.29783935546874,238.39783935546876,116,0,20.519135742187494,212.41670755025146,119.19891967773438,0.013566315951558638,0.9803848040780837,0.0,0.0,0.9939511200296424,1143.4247629701733,1163.9438987123608,1163.9438987123608,1376.3606062626122,1376.3606062626122,1495.5595259403467,1495.5595259403467,1495.5595259403467,1495.5595259403467,1,315500.3321695994,2545506.834640633,314.8,318686.2012849663,2545556.1393078705,127.7
T002,U05,B,BAT-B-01,1,O01,S014,5419.570194994184,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,203,25,154.74912923177084,361.30467966627896,96.378955078125,0.1580802654354943,1.148743936762247,0.0,0.0,1.3068242021977412,390.0,544.7491292317709,544.7491292317709,906.0538088980499,906.0538088980499,1002.4327639761749,1002.4327639761749,1002.4327639761749,1242.432763976175,0,318686.2012849663,2545556.1393078705,127.7,324088.70956645417,2545126.43549485,351
T002,U05,B,BAT-B-01,2,S014,O01,5419.570194994184,541.9473876953125,591.9473876953125,240.9473876953125,464.2473876953125,203,0,80.3157958984375,361.30467966627896,185.698955078125,0.059254488993150216,0.7742243135705977,0.0,0.0,0.833478802563748,1242.432763976175,1322.7485598746125,1322.7485598746125,1684.0532395408914,1684.0532395408914,1869.7521946190163,1869.7521946190163,1869.7521946190163,1869.7521946190163,1,324088.70956645417,2545126.43549485,351,318686.2012849663,2545556.1393078705,127.7
T003,U08,C,BAT-C-02,1,O01,S007,4534.527995612143,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,213,45,153.70927001953126,302.3018663741429,81.73658752441406,0.16704972914253036,1.8053486265578673,0.0,0.0,1.9723983557003977,450.0,603.7092700195312,603.7092700195312,906.0111363936742,906.0111363936742,987.7477239180882,987.7477239180882,987.7477239180882,1347.7477239180882,0,318686.2012849663,2545556.1393078705,127.7,314816.04690611176,2547919.1562834387,348.5
T003,U08,C,BAT-C-02,2,S007,O01,4534.527995612143,461.9731750488281,511.9731750488281,163.47317504882812,384.27317504882814,213,0,65.38927001953125,302.3018663741429,192.13658752441407,0.04323240062703398,1.3952393832652747,0.0,0.0,1.4384717838923087,1347.7477239180882,1413.1369939376195,1413.1369939376195,1715.4388603117625,1715.4388603117625,1907.5754478361766,1907.5754478361766,1907.5754478361766,1907.5754478361766,1,314816.04690611176,2547919.1562834387,348.5,318686.2012849663,2545556.1393078705,127.7
T004,U06,B,BAT-B-02,1,O01,S013,4849.227041161927,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,228,25,90.49394124348959,323.28180274412847,18.992729492187504,0.09244191759327783,1.0278527560476174,0.0,0.0,1.1202946736408952,390.0,480.4939412434896,480.4939412434896,803.7757439876181,803.7757439876181,822.7684734798056,822.7684734798056,822.7684734798056,1062.7684734798056,0,318686.2012849663,2545556.1393078705,127.7,322870.60295955674,2548006.8097309223,351.7
T004,U06,B,BAT-B-02,2,S013,O01,4849.227041161927,349.18182373046875,399.18182373046875,47.48182373046876,271.48182373046876,228,0,15.827274576822921,323.28180274412847,108.5927294921875,0.011676869496379664,0.6927467201659896,0.0,0.0,0.7044235896623693,1062.7684734798056,1078.5957480566285,1078.5957480566285,1401.877550800757,1401.877550800757,1510.4702802929446,1510.4702802929446,1510.4702802929446,1510.4702802929446,1,322870.60295955674,2548006.8097309223,351.7,318686.2012849663,2545556.1393078705,127.7
T005,U07,C,BAT-C-03,1,O01,S001,3053.9887026416195,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,62,58.142644042968755,203.59924684277465,44.52830505371094,0.07253794703983883,1.4853758059738713,0.0,0.0,1.5579137530137102,1975.5595259403467,2033.7021699833153,2033.7021699833153,2237.30141682609,2237.30141682609,2281.829721879801,2281.829721879801,2281.829721879801,2677.829721879801,0,318686.2012849663,2545556.1393078705,127.7,319988.599872737,2548318.4942659517,184
T005,U07,C,BAT-C-03,2,S001,O01,3053.9887026416195,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136,0,35.62264404296875,203.59924684277465,72.67830505371094,0.023552066236553013,0.9396888315820368,0.0,0.0,0.9632408978185898,2677.829721879801,2713.45236592277,2713.45236592277,2917.0516127655446,2917.0516127655446,2989.7299178192557,2989.7299178192557,2989.7299178192557,2989.7299178192557,1,319988.599872737,2548318.4942659517,184,318686.2012849663,2545556.1393078705,127.7
T006,U01,A,BAT-A-01,1,O01,S010,4784.474876257699,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,203,17,102.64551188151042,398.7062396881416,33.61461425781249,0.10135989466559586,0.969988169815562,0.0,0.0,1.071348064481158,360.0,462.6455118815104,462.6455118815104,861.3517515696519,861.3517515696519,894.9663658274644,894.9663658274644,894.9663658274644,1104.9663658274644,0,318686.2012849663,2545556.1393078705,127.7,323330.1953724307,2546707.0166936666,351.6
T006,U01,A,BAT-A-01,2,S010,O01,4784.474876257699,385.63653564453125,435.63653564453125,84.03653564453123,307.93653564453126,203,0,28.012178548177076,398.7062396881416,123.17461425781251,0.022256243232828293,0.8612054777263859,0.0,0.0,0.8834617209592142,1104.9663658274644,1132.9785443756414,1132.9785443756414,1531.684784063783,1531.684784063783,1654.8593983215953,1654.8593983215953,1654.8593983215953,1654.8593983215953,1,323330.1953724307,2546707.0166936666,351.6,318686.2012849663,2545556.1393078705,127.7
T007,U08,C,BAT-C-04,1,O01,S002,7411.3077087600395,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,323,67,72.50170166015626,494.0871805840026,44.72712707519531,0.09388091960162494,3.882841707750171,0.0,0.0,3.976722627351796,2387.575447836177,2460.0771494963333,2460.0771494963333,2954.1643300803357,2954.1643300803357,2998.891457155531,2998.891457155531,2998.891457155531,3394.891457155531,0,318686.2012849663,2545556.1393078705,127.7,321607.1664922811,2552367.559439648,219.5
T007,U08,C,BAT-C-04,2,S002,O01,7411.3077087600395,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,323,0,35.78170166015625,494.0871805840026,90.62712707519532,0.023657227872811954,2.280402371926166,0.0,0.0,2.3040595997989777,3394.891457155531,3430.673158815687,3430.673158815687,3924.7603393996897,3924.7603393996897,4015.387466474885,4015.387466474885,4015.387466474885,4015.387466474885,1,321607.1664922811,2552367.559439648,219.5,318686.2012849663,2545556.1393078705,127.7
T008,U06,B,BAT-B-03,1,O01,S012,7390.4482261717885,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,354,25,95.20033162434896,492.69654841145257,53.40039794921874,0.09724961792957518,1.566495549335579,0.0,0.0,1.6637451672651542,1900.4702802929446,1995.6706119172936,1995.6706119172936,2488.367160328746,2488.367160328746,2541.767558277965,2541.767558277965,2541.767558277965,2781.767558277965,0,318686.2012849663,2545556.1393078705,127.7,324105.4192386115,2550581.1568953637,279.8
T008,U06,B,BAT-B-03,2,S012,O01,7390.4482261717885,363.3009948730469,413.3009948730469,133.50099487304686,285.6009948730469,354,0,44.50033162434895,492.69654841145257,114.24039794921876,0.03283095661233207,1.0557783180245413,0.0,0.0,1.0886092746368734,2781.767558277965,2826.2678899023135,2826.2678899023135,3318.964438313766,3318.964438313766,3433.204836262985,3433.204836262985,3433.204836262985,3433.204836262985,1,324105.4192386115,2550581.1568953637,279.8,318686.2012849663,2545556.1393078705,127.7
T009,U02,A,BAT-A-02,1,O01,S015,6009.472571071346,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,286,11,148.03308512369793,500.7893809226121,38.9197021484375,0.13609768633390426,1.148761238844798,0.0,0.0,1.2848589251787024,360.0,508.0330851236979,508.0330851236979,1008.82246604631,1008.82246604631,1047.7421681947474,1047.7421681947474,1047.7421681947474,1257.7421681947474,0,318686.2012849663,2545556.1393078705,127.7,314798.3027495933,2550138.497386535,474.5
T009,U02,A,BAT-A-02,2,S015,O01,6009.472571071346,521.7992553710938,571.7992553710938,97.29925537109375,444.09925537109376,286,0,32.433085123697914,500.7893809226121,177.6397021484375,0.025768743050904923,1.0817050627928422,0.0,0.0,1.107473805843747,1257.7421681947474,1290.1752533184454,1290.1752533184454,1790.9646342410574,1790.9646342410574,1968.6043363894948,1968.6043363894948,1968.6043363894948,1968.6043363894948,1,314798.3027495933,2550138.497386535,474.5,318686.2012849663,2545556.1393078705,127.7
T010,U03,A,BAT-A-03,1,O01,S008,8079.114648723534,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,321,17,81.73644409179688,673.2595540602945,40.803732910156256,0.080712709319902,1.637932235935383,0.0,0.0,1.718644945255285,360.0,441.7364440917969,441.7364440917969,1114.9959981520915,1114.9959981520915,1155.7997310622477,1155.7997310622477,1155.7997310622477,1365.7997310622477,0,318686.2012849663,2545556.1393078705,127.7,316926.3521472279,2553441.253417357,270.9
T010,U03,A,BAT-A-03,2,S008,O01,8079.114648723534,322.9093322753906,372.9093322753906,102.00933227539065,245.20933227539064,321,0,34.00311075846355,673.2595540602945,98.08373291015626,0.02701616021801396,1.454240636770236,0.0,0.0,1.48125679698825,1365.7997310622477,1399.8028418207114,1399.8028418207114,2073.0623958810056,2073.0623958810056,2171.146128791162,2171.146128791162,2171.146128791162,2171.146128791162,1,316926.3521472279,2553441.253417357,270.9,318686.2012849663,2545556.1393078705,127.7
T011,U07,C,BAT-C-01,1,O01,S004,7714.729254942358,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,276,59,108.21566650390625,514.3152836628238,84.9695831298828,0.13193764958251988,3.602254102814671,0.0,0.0,3.734191752397191,3473.392351884103,3581.608018388009,3581.608018388009,4095.9233020508327,4095.9233020508327,4180.892885180716,4180.892885180716,4180.892885180716,4576.892885180716,0,318686.2012849663,2545556.1393078705,127.7,319528.9759536631,2553224.6970819808,228.3
T011,U07,C,BAT-C-01,2,S004,O01,7714.729254942358,348.2391662597656,398.2391662597656,169.9391662597656,270.53916625976564,276,0,67.97566650390624,514.3152836628238,135.26958312988282,0.04494240792577662,2.3737628476745716,0.0,0.0,2.418705255600348,4576.892885180716,4644.868551684622,4644.868551684622,5159.183835347446,5159.183835347446,5294.453418477328,5294.453418477328,5294.453418477328,5294.453418477328,1,319528.9759536631,2553224.6970819808,228.3,318686.2012849663,2545556.1393078705,127.7
T012,U08,C,BAT-C-02,1,O01,S003,7263.327717049588,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,338,67,173.6416552734375,484.2218478033058,111.65206909179688,0.2248449057738092,3.805313840023573,0.0,0.0,4.030158745797382,4525.3874664748855,4699.029121748323,4699.029121748323,5183.250969551628,5183.250969551628,5294.903038643425,5294.903038643425,5294.903038643425,5726.903038643425,0,318686.2012849663,2545556.1393078705,127.7,312375.1586337376,2549151.507186076,338.5
T012,U08,C,BAT-C-02,2,S003,O01,7263.327717049588,511.80413818359375,561.8041381835938,223.30413818359375,434.10413818359376,338,0,89.3216552734375,484.2218478033058,217.05206909179688,0.05905540135709798,2.2348700667844885,0.0,0.0,2.2939254681415866,5726.903038643425,5816.224693916863,5816.224693916863,6300.446541720168,6300.446541720168,6517.498610811965,6517.498610811965,6517.498610811965,6517.498610811965,1,312375.1586337376,2549151.507186076,338.5,318686.2012849663,2545556.1393078705,127.7
T013,U05,B,BAT-B-04,1,O01,S011,2808.0980667554068,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,123,25,55.88725179036459,187.2065377836938,33.3047021484375,0.05709028310103947,0.5952106000949255,0.0,0.0,0.652300883195965,2259.7521946190163,2315.639446409381,2315.639446409381,2502.845984193075,2502.845984193075,2536.1506863415125,2536.1506863415125,2536.1506863415125,2776.1506863415125,0,318686.2012849663,2545556.1393078705,127.7,317639.7049014466,2548161.9520547492,212.1
