trip_id,drone_id,type_id,battery_id,box_ids_json,route,preparation_start_s,takeoff_s,return_s,preparation_s,loading_s,flight_s,handover_s,turnaround_s,total_energy_kwh,return_soc,takeoff_mass_kg,takeoff_volume_m3,scenario_status
T001,U07,C,BAT-C-01,"[""S006-WAT-01"", ""S006-MED-01"", ""S006-WAT-02"", ""S006-HYG-01"", ""S006-WAT-03""]",O01-S006-O01,0.0,450.0,1495.5595259403467,300,150,685.5595259403467,360.0,0.0,2.4535365881000235,0.6933079264874971,51,0.128,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T002,U05,B,BAT-B-01,"[""S014-MED-01"", ""S014-WAT-01"", ""S014-FOD-01""]",O01-S014-O01,0.0,390.0,1869.7521946190163,300,90,1239.7521946190163,240.0000000000001,0.0,2.1403030047614893,0.4649242488096277,25,0.067,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T003,U08,C,BAT-C-02,"[""S007-MED-01"", ""S007-WAT-01"", ""S007-WAT-02"", ""S007-FOD-01"", ""S007-HYG-01""]",O01-S007-O01,0.0,450.0,1907.5754478361766,300,150,1097.5754478361764,360.0,0.0,3.4108701395927064,0.5736412325509117,45,0.129,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T004,U06,B,BAT-B-02,"[""S013-MED-01"", ""S013-WAT-01"", ""S013-FOD-01""]",O01-S013-O01,0.0,390.0,1510.4702802929446,300,90,880.4702802929444,240.0,0.0,1.8247182633032644,0.5438204341741839,25,0.067,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T005,U07,C,BAT-C-03,"[""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-07"", ""S001-WAT-04"", ""S001-WAT-08""]",O01-S001-O01,1495.5595259403467,1975.5595259403467,2989.7299178192557,300,180,618.1703918789086,396.0,0.0,2.5211546508323,0.6848556686459625,62,0.132,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T006,U01,A,BAT-A-01,"[""S010-WAT-01"", ""S010-MED-01""]",O01-S010-O01,0.0,360.0,1654.8593983215953,300,60,1084.8593983215956,210.0,0.0,1.954809785440372,0.5655978254576951,17,0.039,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T007,U08,C,BAT-C-04,"[""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-03"", ""S002-WAT-04"", ""S002-FOD-02"", ""S002-WAT-02""]",O01-S002-O01,1907.5754478361766,2387.575447836177,4015.387466474885,300,180,1231.8120186387082,396.0,0.0,6.280782227150773,0.21490222160615335,67,0.148,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T008,U06,B,BAT-B-03,"[""S012-WAT-01"", ""S012-MED-01"", ""S012-FOD-01""]",O01-S012-O01,1510.4702802929446,1900.4702802929446,3433.204836262985,300,90,1292.7345559700407,240.0,0.0,2.7523544419020274,0.31191138952449315,25,0.067,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T009,U02,A,BAT-A-02,"[""S015-MED-01"", ""S015-FOD-01""]",O01-S015-O01,0.0,360.0,1968.6043363894948,300,60,1398.604336389495,210.0,0.0,2.3923327310224494,0.4683705042172335,11,0.04,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T010,U03,A,BAT-A-03,"[""S008-WAT-02"", ""S008-MED-01""]",O01-S008-O01,0.0,360.0,2171.146128791162,300,60,1601.146128791162,210.0,0.0,3.1999017422435347,0.28891072394588113,17,0.039,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T011,U07,C,BAT-C-01,"[""S004-WAT-01"", ""S004-MED-01"", ""S004-FOD-01"", ""S004-WAT-02"", ""S004-HYG-01"", ""S004-WAT-03""]",O01-S004-O01,2993.392351884103,3473.392351884103,5294.453418477328,300,180,1425.0610665932259,396.0,0.0,6.152897007997539,0.23088787400030764,59,0.156,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T012,U08,C,BAT-C-02,"[""S003-MED-01"", ""S003-WAT-01"", ""S003-WAT-04"", ""S003-WAT-03"", ""S003-FOD-01"", ""S003-HYG-01"", ""S003-FOD-02""]",O01-S003-O01,4015.387466474885,4525.3874664748855,6517.498610811965,300,210,1560.1111443370803,432.0,0.0,6.324084213938969,0.2094894732576289,67,0.184,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T013,U05,B,BAT-B-04,"[""S011-WAT-01"", ""S011-MED-01"", ""S011-FOD-01""]",O01-S011-O01,1869.7521946190163,2259.7521946190163,3058.175844730675,300,90,558.4236501116584,240.0,0.0,1.0739337252090841,0.731516568697729,25,0.067,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T014,U05,B,BAT-B-02,"[""S009-WAT-01"", ""S009-MED-01"", ""S009-FOD-01""]",O01-S009-O01,3058.175844730675,3448.175844730675,4616.618092125082,300,90,928.4422473944054,240.0,0.0,2.096210537071613,0.4759473657320967,25,0.067,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T015,U07,C,BAT-C-03,"[""S005-WAT-01"", ""S005-WAT-02"", ""S005-HYG-01""]",O01-S005-O01,5294.453418477328,5684.453418477328,6973.648576672872,300,90,1001.1951581955425,288.0,0.0,3.647402293352414,0.5440747133309483,34,0.089,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T016,U04,A,BAT-A-04,"[""S001-WAT-03"", ""S001-FOD-03""]",O01-S001-O01,0.0,360.0,1250.9011452644886,300,60,680.9011452644887,210.0,0.0,1.2823246082350366,0.7150389759477697,22,0.055,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T017,U06,B,BAT-B-01,"[""S002-FOD-01"", ""S002-HYG-01""]",O01-S002-O01,3463.8834966823283,3823.8834966823283,5220.577430604239,300,60,1186.6939339219116,210.0,0.0,2.3612355046008355,0.4096911238497911,14,0.063,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T018,U04,A,BAT-A-05,"[""S001-WAT-02"", ""S001-FOD-01""]",O01-S001-O01,1250.9011452644886,1610.9011452644886,2501.802290528977,300,60,680.9011452644887,210.0,0.0,1.2823246082350366,0.7150389759477697,22,0.055,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
T019,U01,A,BAT-A-06,"[""S003-WAT-02"", ""S006-FOD-01""]",O01-S006-S003-O01,1654.8593983215953,2014.8593983215953,4239.208147471937,300,60,1864.348749150342,360.0,0.0,3.1901692135511874,0.2910735080997361,22,0.055,PROVISIONAL_ASSUMPTIONS_NOT_OFFICIAL_FINAL
