time_s,trip_id,drone_id,mode,relay_id
450.0,T001,U07,direct,
451.0,T001,U07,direct,
452.0,T001,U07,direct,
453.0,T001,U07,direct,
454.0,T001,U07,direct,
455.0,T001,U07,direct,
456.0,T001,U07,direct,
457.0,T001,U07,direct,
458.0,T001,U07,direct,
459.0,T001,U07,direct,
460.0,T001,U07,direct,
461.0,T001,U07,direct,
462.0,T001,U07,direct,
463.0,T001,U07,direct,
464.0,T001,U07,direct,
465.0,T001,U07,direct,
466.0,T001,U07,direct,
467.0,T001,U07,direct,
468.0,T001,U07,direct,
469.0,T001,U07,direct,
470.0,T001,U07,direct,
471.0,T001,U07,direct,
472.0,T001,U07,direct,
473.0,T001,U07,direct,
474.0,T001,U07,direct,
475.0,T001,U07,direct,
476.0,T001,U07,direct,
477.0,T001,U07,direct,
478.0,T001,U07,direct,
479.0,T001,U07,direct,
480.0,T001,U07,direct,
481.0,T001,U07,direct,
482.0,T001,U07,direct,
483.0,T001,U07,direct,
484.0,T001,U07,direct,
485.0,T001,U07,direct,
486.0,T001,U07,direct,
487.0,T001,U07,direct,
488.0,T001,U07,direct,
489.0,T001,U07,direct,
490.0,T001,U07,direct,
491.0,T001,U07,direct,
492.0,T001,U07,direct,
493.0,T001,U07,direct,
494.0,T001,U07,direct,
495.0,T001,U07,direct,
496.0,T001,U07,direct,
497.0,T001,U07,direct,
498.0,T001,U07,direct,
499.0,T001,U07,direct,
500.0,T001,U07,direct,
501.0,T001,U07,direct,
502.0,T001,U07,direct,
503.0,T001,U07,direct,
504.0,T001,U07,direct,
505.0,T001,U07,direct,
506.0,T001,U07,direct,
507.0,T001,U07,direct,
508.0,T001,U07,direct,
509.0,T001,U07,direct,
510.0,T001,U07,direct,
511.0,T001,U07,direct,
512.0,T001,U07,direct,
513.0,T001,U07,direct,
514.0,T001,U07,direct,
515.0,T001,U07,direct,
516.0,T001,U07,direct,
517.0,T001,U07,direct,
518.0,T001,U07,direct,
519.0,T001,U07,direct,
520.0,T001,U07,direct,
521.0,T001,U07,direct,
522.0,T001,U07,direct,
523.0,T001,U07,direct,
524.0,T001,U07,direct,
525.0,T001,U07,direct,
526.0,T001,U07,direct,
527.0,T001,U07,direct,
528.0,T001,U07,direct,
529.0,T001,U07,direct,
530.0,T001,U07,direct,
531.0,T001,U07,direct,
532.0,T001,U07,direct,
533.0,T001,U07,direct,
534.0,T001,U07,direct,
535.0,T001,U07,direct,
536.0,T001,U07,direct,
537.0,T001,U07,direct,
538.0,T001,U07,direct,
539.0,T001,U07,direct,
540.0,T001,U07,direct,
541.0,T001,U07,direct,
542.0,T001,U07,direct,
543.0,T001,U07,direct,
544.0,T001,U07,direct,
545.0,T001,U07,direct,
546.0,T001,U07,direct,
547.0,T001,U07,direct,
548.0,T001,U07,direct,
549.0,T001,U07,direct,
550.0,T001,U07,direct,
551.0,T001,U07,direct,
552.0,T001,U07,direct,
553.0,T001,U07,direct,
554.0,T001,U07,direct,
555.0,T001,U07,direct,
556.0,T001,U07,direct,
557.0,T001,U07,direct,
558.0,T001,U07,direct,
559.0,T001,U07,direct,
560.0,T001,U07,direct,
561.0,T001,U07,direct,
562.0,T001,U07,direct,
563.0,T001,U07,direct,
564.0,T001,U07,direct,
565.0,T001,U07,direct,
566.0,T001,U07,direct,
567.0,T001,U07,direct,
568.0,T001,U07,direct,
569.0,T001,U07,direct,
570.0,T001,U07,direct,
571.0,T001,U07,direct,
572.0,T001,U07,direct,
573.0,T001,U07,direct,
574.0,T001,U07,direct,
575.0,T001,U07,direct,
576.0,T001,U07,direct,
577.0,T001,U07,direct,
578.0,T001,U07,direct,
579.0,T001,U07,direct,
580.0,T001,U07,direct,
581.0,T001,U07,direct,
582.0,T001,U07,direct,
583.0,T001,U07,direct,
584.0,T001,U07,direct,
585.0,T001,U07,direct,
586.0,T001,U07,direct,
587.0,T001,U07,direct,
588.0,T001,U07,direct,
589.0,T001,U07,direct,
590.0,T001,U07,direct,
591.0,T001,U07,direct,
592.0,T001,U07,direct,
593.0,T001,U07,direct,
594.0,T001,U07,direct,
595.0,T001,U07,direct,
596.0,T001,U07,direct,
597.0,T001,U07,direct,
598.0,T001,U07,direct,
599.0,T001,U07,direct,
600.0,T001,U07,direct,
601.0,T001,U07,direct,
602.0,T001,U07,direct,
603.0,T001,U07,direct,
604.0,T001,U07,direct,
605.0,T001,U07,direct,
606.0,T001,U07,direct,
607.0,T001,U07,direct,
608.0,T001,U07,direct,
609.0,T001,U07,direct,
610.0,T001,U07,direct,
611.0,T001,U07,direct,
612.0,T001,U07,direct,
613.0,T001,U07,direct,
614.0,T001,U07,direct,
615.0,T001,U07,direct,
616.0,T001,U07,direct,
617.0,T001,U07,direct,
618.0,T001,U07,direct,
619.0,T001,U07,direct,
620.0,T001,U07,direct,
621.0,T001,U07,direct,
622.0,T001,U07,direct,
623.0,T001,U07,direct,
624.0,T001,U07,direct,
625.0,T001,U07,direct,
626.0,T001,U07,direct,
627.0,T001,U07,direct,
628.0,T001,U07,direct,
629.0,T001,U07,direct,
630.0,T001,U07,direct,
631.0,T001,U07,direct,
632.0,T001,U07,direct,
633.0,T001,U07,direct,
634.0,T001,U07,direct,
635.0,T001,U07,direct,
636.0,T001,U07,direct,
637.0,T001,U07,direct,
638.0,T001,U07,direct,
639.0,T001,U07,direct,
640.0,T001,U07,direct,
641.0,T001,U07,direct,
642.0,T001,U07,direct,
643.0,T001,U07,direct,
644.0,T001,U07,direct,
645.0,T001,U07,direct,
646.0,T001,U07,direct,
647.0,T001,U07,direct,
648.0,T001,U07,direct,
649.0,T001,U07,direct,
650.0,T001,U07,direct,
651.0,T001,U07,direct,
652.0,T001,U07,direct,
653.0,T001,U07,direct,
654.0,T001,U07,direct,
655.0,T001,U07,direct,
656.0,T001,U07,direct,
657.0,T001,U07,direct,
658.0,T001,U07,direct,
659.0,T001,U07,direct,
660.0,T001,U07,direct,
661.0,T001,U07,direct,
662.0,T001,U07,direct,
663.0,T001,U07,direct,
664.0,T001,U07,direct,
665.0,T001,U07,direct,
666.0,T001,U07,direct,
667.0,T001,U07,direct,
668.0,T001,U07,direct,
669.0,T001,U07,direct,
670.0,T001,U07,direct,
671.0,T001,U07,direct,
672.0,T001,U07,direct,
673.0,T001,U07,direct,
674.0,T001,U07,direct,
675.0,T001,U07,direct,
676.0,T001,U07,direct,
677.0,T001,U07,direct,
678.0,T001,U07,direct,
679.0,T001,U07,direct,
680.0,T001,U07,direct,
681.0,T001,U07,direct,
682.0,T001,U07,direct,
683.0,T001,U07,direct,
684.0,T001,U07,direct,
685.0,T001,U07,direct,
686.0,T001,U07,direct,
687.0,T001,U07,direct,
688.0,T001,U07,direct,
689.0,T001,U07,direct,
