time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
360.0,T006,U01,318686.201,2545556.139,127.7,ascent,1,direct,
360.0,T009,U02,318686.201,2545556.139,127.7,ascent,1,direct,
360.0,T010,U03,318686.201,2545556.139,127.7,ascent,1,direct,
360.0,T016,U04,318686.201,2545556.139,127.7,ascent,1,direct,
365.0,T006,U01,318686.201,2545556.139,142.7,ascent,1,direct,
365.0,T009,U02,318686.201,2545556.139,142.7,ascent,1,direct,
365.0,T010,U03,318686.201,2545556.139,142.7,ascent,1,direct,
365.0,T016,U04,318686.201,2545556.139,142.7,ascent,1,direct,
370.0,T006,U01,318686.201,2545556.139,157.7,ascent,1,direct,
370.0,T009,U02,318686.201,2545556.139,157.7,ascent,1,direct,
370.0,T010,U03,318686.201,2545556.139,157.7,ascent,1,direct,
370.0,T016,U04,318686.201,2545556.139,157.7,ascent,1,direct,
375.0,T006,U01,318686.201,2545556.139,172.7,ascent,1,direct,
375.0,T009,U02,318686.201,2545556.139,172.7,ascent,1,direct,
375.0,T010,U03,318686.201,2545556.139,172.7,ascent,1,direct,
375.0,T016,U04,318686.201,2545556.139,172.7,ascent,1,direct,
380.0,T006,U01,318686.201,2545556.139,187.7,ascent,1,direct,
380.0,T009,U02,318686.201,2545556.139,187.7,ascent,1,direct,
380.0,T010,U03,318686.201,2545556.139,187.7,ascent,1,direct,
380.0,T016,U04,318686.201,2545556.139,187.7,ascent,1,direct,
385.0,T006,U01,318686.201,2545556.139,202.7,ascent,1,direct,
385.0,T009,U02,318686.201,2545556.139,202.7,ascent,1,direct,
385.0,T010,U03,318686.201,2545556.139,202.7,ascent,1,direct,
385.0,T016,U04,318686.201,2545556.139,202.7,ascent,1,direct,
390.0,T002,U05,318686.201,2545556.139,127.7,ascent,1,direct,
390.0,T004,U06,318686.201,2545556.139,127.7,ascent,1,direct,
390.0,T006,U01,318686.201,2545556.139,217.7,ascent,1,direct,
390.0,T009,U02,318686.201,2545556.139,217.7,ascent,1,direct,
390.0,T010,U03,318686.201,2545556.139,217.7,ascent,1,direct,
390.0,T016,U04,318686.201,2545556.139,217.7,ascent,1,direct,
395.0,T002,U05,318686.201,2545556.139,142.7,ascent,1,direct,
395.0,T004,U06,318686.201,2545556.139,142.7,ascent,1,direct,
395.0,T006,U01,318686.201,2545556.139,232.7,ascent,1,direct,
395.0,T009,U02,318686.201,2545556.139,232.7,ascent,1,direct,
395.0,T010,U03,318686.201,2545556.139,232.7,ascent,1,direct,
395.0,T016,U04,318686.201,2545556.139,232.7,ascent,1,direct,
400.0,T002,U05,318686.201,2545556.139,157.7,ascent,1,direct,
400.0,T004,U06,318686.201,2545556.139,157.7,ascent,1,direct,
400.0,T006,U01,318686.201,2545556.139,247.7,ascent,1,direct,
400.0,T009,U02,318686.201,2545556.139,247.7,ascent,1,direct,
400.0,T010,U03,318686.201,2545556.139,247.7,ascent,1,direct,
400.0,T016,U04,318686.201,2545556.139,247.7,ascent,1,direct,
405.0,T002,U05,318686.201,2545556.139,172.7,ascent,1,direct,
405.0,T004,U06,318686.201,2545556.139,172.7,ascent,1,direct,
405.0,T006,U01,318686.201,2545556.139,262.7,ascent,1,direct,
405.0,T009,U02,318686.201,2545556.139,262.7,ascent,1,direct,
405.0,T010,U03,318686.201,2545556.139,262.7,ascent,1,direct,
405.0,T016,U04,318686.201,2545556.139,262.7,ascent,1,direct,
410.0,T002,U05,318686.201,2545556.139,187.7,ascent,1,direct,
410.0,T004,U06,318686.201,2545556.139,187.7,ascent,1,direct,
410.0,T006,U01,318686.201,2545556.139,277.7,ascent,1,direct,
410.0,T009,U02,318686.201,2545556.139,277.7,ascent,1,direct,
410.0,T010,U03,318686.201,2545556.139,277.7,ascent,1,direct,
410.0,T016,U04,318694.122,2545572.939,273.057,cruise,1,direct,
415.0,T002,U05,318686.201,2545556.139,202.7,ascent,1,direct,
415.0,T004,U06,318686.201,2545556.139,202.7,ascent,1,direct,
415.0,T006,U01,318686.201,2545556.139,292.7,ascent,1,direct,
415.0,T009,U02,318686.201,2545556.139,292.7,ascent,1,direct,
415.0,T010,U03,318686.201,2545556.139,292.7,ascent,1,direct,
415.0,T016,U04,318719.71,2545627.21,273.057,cruise,1,direct,
420.0,T002,U05,318686.201,2545556.139,217.7,ascent,1,direct,
420.0,T004,U06,318686.201,2545556.139,217.7,ascent,1,direct,
420.0,T006,U01,318686.201,2545556.139,307.7,ascent,1,direct,
420.0,T009,U02,318686.201,2545556.139,307.7,ascent,1,direct,
420.0,T010,U03,318686.201,2545556.139,307.7,ascent,1,direct,
420.0,T016,U04,318745.297,2545681.48,273.057,cruise,1,direct,
425.0,T002,U05,318686.201,2545556.139,232.7,ascent,1,direct,
425.0,T004,U06,318686.201,2545556.139,232.7,ascent,1,direct,
425.0,T006,U01,318686.201,2545556.139,322.7,ascent,1,direct,
425.0,T009,U02,318686.201,2545556.139,322.7,ascent,1,direct,
425.0,T010,U03,318686.201,2545556.139,322.7,ascent,1,direct,
425.0,T016,U04,318770.885,2545735.751,273.057,cruise,1,direct,
430.0,T002,U05,318686.201,2545556.139,247.7,ascent,1,direct,
430.0,T004,U06,318686.201,2545556.139,247.7,ascent,1,direct,
430.0,T006,U01,318686.201,2545556.139,337.7,ascent,1,direct,
430.0,T009,U02,318686.201,2545556.139,337.7,ascent,1,direct,
430.0,T010,U03,318686.201,2545556.139,337.7,ascent,1,direct,
430.0,T016,U04,318796.472,2545790.021,273.057,cruise,1,direct,
435.0,T002,U05,318686.201,2545556.139,262.7,ascent,1,direct,
435.0,T004,U06,318686.201,2545556.139,262.7,ascent,1,direct,
435.0,T006,U01,318686.201,2545556.139,352.7,ascent,1,direct,
435.0,T009,U02,318686.201,2545556.139,352.7,ascent,1,direct,
435.0,T010,U03,318686.201,2545556.139,352.7,ascent,1,direct,
435.0,T016,U04,318822.06,2545844.291,273.057,cruise,1,direct,
