trip_id,drone_id,window_s,outage_s,coverage
T001,U07,1046.0,0.0,1.0
T002,U05,1480.0,614.0,0.585135
T003,U08,1458.0,582.0,0.600823
T004,U06,1121.0,394.0,0.648528
T005,U07,1015.0,0.0,1.0
T006,U01,1295.0,411.0,0.682625
T007,U08,1628.0,937.0,0.424447
T008,U06,1533.0,797.0,0.480104
T009,U02,1609.0,626.0,0.610938
T010,U03,1812.0,904.0,0.501104
T011,U07,1822.0,827.0,0.546103
T012,U08,1993.0,1076.0,0.46011
T013,U05,799.0,0.0,1.0
T014,U05,1169.0,519.0,0.556031
T015,U07,1290.0,583.0,0.548062
T016,U04,891.0,0.0,1.0
T017,U06,1397.0,736.0,0.473157
T018,U04,891.0,0.0,1.0
T019,U01,2225.0,924.0,0.584719
T020,U02,891.0,0.0,1.0
T021,U03,1672.0,407.0,0.756579
T022,U05,1800.0,1049.0,0.417222
T023,U04,1333.0,527.0,0.604651
T024,U06,790.0,0.0,1.0
T025,U02,1812.0,904.0,0.501104
T026,U01,1579.0,596.0,0.622546
