trip_id,drone_id,start_s,end_s,duration_s,start_position,end_position,reason
T002,U05,808.0,1422.0,614.0,"109.2692824,23.0061070,591.95","109.2692535,23.0061088,591.95",terrain_occlusion
T003,U08,867.0,868.0,1.0,"109.1977277,23.0267209,511.97","109.1977277,23.0267209,511.97",terrain_occlusion
T003,U08,869.0,870.0,1.0,"109.1974761,23.0268592,511.97","109.1974761,23.0268592,511.97",terrain_occlusion
T003,U08,871.0,1449.0,578.0,"109.1972244,23.0269975,511.97","109.1972058,23.0270078,511.97",terrain_occlusion
T003,U08,1450.0,1451.0,1.0,"109.1974574,23.0268695,511.97","109.1974574,23.0268695,511.97",terrain_occlusion
T003,U08,1452.0,1453.0,1.0,"109.1977091,23.0267311,511.97","109.1977091,23.0267311,511.97",terrain_occlusion
T004,U06,745.0,1139.0,394.0,"109.2640137,23.0269839,399.18","109.2639349,23.0269400,399.18",terrain_occlusion
T006,U01,792.0,1203.0,411.0,"109.2681601,23.0175073,435.64","109.2681975,23.0175163,435.64",terrain_occlusion
T007,U08,2724.575,3661.575,937.0,"109.2456774,23.0416026,308.95","109.2456599,23.0415634,308.95",terrain_occlusion
T008,U06,2259.47,3056.47,797.0,"109.2588412,23.0331164,413.30","109.2588088,23.0330879,413.30",terrain_occlusion
T009,U02,837.0,1463.0,626.0,"109.2055815,23.0354076,571.80","109.2055817,23.0354074,571.80",terrain_occlusion
T010,U03,806.0,1710.0,904.0,"109.2210590,23.0469251,372.91","109.2210644,23.0469039,372.91",terrain_occlusion
T011,U07,3957.392,4784.392,827.0,"109.2361993,23.0591669,398.24","109.2361995,23.0591678,398.24",terrain_occlusion
T012,U08,4962.387,6038.387,1076.0,"109.1971379,23.0257874,561.80","109.1971763,23.0257678,561.80",terrain_occlusion
T014,U05,3768.176,4287.176,519.0,"109.2470668,23.0410881,293.23","109.2470305,23.0410151,293.23",terrain_occlusion
T015,U07,6028.453,6611.453,583.0,"109.2289349,23.0442932,326.41","109.2289398,23.0442017,326.41",terrain_occlusion
T017,U06,4148.883,4884.883,736.0,"109.2456821,23.0416131,308.95","109.2456603,23.0415643,308.95",terrain_occlusion
T019,U01,2808.859,2812.859,4.0,"109.1895326,23.0185084,662.36","109.1893007,23.0187525,662.36",terrain_occlusion
T019,U01,2817.859,3737.859,920.0,"109.1888370,23.0192408,662.36","109.1971882,23.0257616,561.80",terrain_occlusion
T021,U03,3892.582,4299.582,407.0,"109.2657215,23.0238586,431.08","109.2681879,23.0175140,435.64",terrain_occlusion
T022,U05,5307.618,5686.618,379.0,"109.2289331,23.0443266,326.41","109.2282317,23.0562369,366.79",terrain_occlusion
T022,U05,5718.618,6388.618,670.0,"109.2256998,23.0600433,366.79","109.2210812,23.0468383,372.91",terrain_occlusion
T023,U04,3915.723,4442.723,527.0,"109.2289400,23.0441978,326.41","109.2289345,23.0443005,326.41",terrain_occlusion
T025,U02,4178.252,5082.252,904.0,"109.2210590,23.0469251,372.91","109.2210644,23.0469039,372.91",terrain_occlusion
T026,U01,5046.208,5642.208,596.0,"109.2055815,23.0354076,571.80","109.2055817,23.0354074,571.80",terrain_occlusion
