time_s,trip_id,transport_uav,provider
450.0,T001,U07,G01
451.0,T001,U07,G01
452.0,T001,U07,G01
453.0,T001,U07,G01
454.0,T001,U07,G01
455.0,T001,U07,G01
456.0,T001,U07,G01
457.0,T001,U07,G01
458.0,T001,U07,G01
459.0,T001,U07,G01
460.0,T001,U07,G01
461.0,T001,U07,G01
462.0,T001,U07,G01
463.0,T001,U07,G01
464.0,T001,U07,G01
465.0,T001,U07,G01
466.0,T001,U07,G01
467.0,T001,U07,G01
468.0,T001,U07,G01
469.0,T001,U07,G01
470.0,T001,U07,G01
471.0,T001,U07,G01
472.0,T001,U07,G01
473.0,T001,U07,G01
474.0,T001,U07,G01
475.0,T001,U07,G01
476.0,T001,U07,G01
477.0,T001,U07,G01
478.0,T001,U07,G01
479.0,T001,U07,G01
480.0,T001,U07,G01
481.0,T001,U07,G01
482.0,T001,U07,G01
483.0,T001,U07,G01
484.0,T001,U07,G01
485.0,T001,U07,G01
486.0,T001,U07,G01
487.0,T001,U07,G01
488.0,T001,U07,G01
489.0,T001,U07,G01
490.0,T001,U07,G01
491.0,T001,U07,G01
492.0,T001,U07,G01
493.0,T001,U07,G01
494.0,T001,U07,G01
495.0,T001,U07,G01
496.0,T001,U07,G01
497.0,T001,U07,G01
498.0,T001,U07,G01
499.0,T001,U07,G01
500.0,T001,U07,G01
501.0,T001,U07,G01
502.0,T001,U07,G01
503.0,T001,U07,G01
504.0,T001,U07,G01
505.0,T001,U07,G01
506.0,T001,U07,G01
507.0,T001,U07,G01
508.0,T001,U07,G01
509.0,T001,U07,G01
510.0,T001,U07,G01
511.0,T001,U07,G01
512.0,T001,U07,G01
513.0,T001,U07,G01
514.0,T001,U07,G01
515.0,T001,U07,G01
516.0,T001,U07,G01
517.0,T001,U07,G01
518.0,T001,U07,G01
519.0,T001,U07,G01
520.0,T001,U07,G01
521.0,T001,U07,G01
522.0,T001,U07,G01
523.0,T001,U07,G01
524.0,T001,U07,G01
525.0,T001,U07,G01
526.0,T001,U07,G01
527.0,T001,U07,G01
528.0,T001,U07,G01
529.0,T001,U07,G01
530.0,T001,U07,G01
531.0,T001,U07,G01
532.0,T001,U07,G01
533.0,T001,U07,G01
534.0,T001,U07,G01
535.0,T001,U07,G01
536.0,T001,U07,G01
537.0,T001,U07,G01
538.0,T001,U07,G01
539.0,T001,U07,G01
540.0,T001,U07,G01
