trip_id,type_id,drone_id,battery_id,route,box_ids_json,preparation_start_s,takeoff_s,return_s,total_energy_kwh,return_soc
T001,C,U07,BAT-C-01,O01-S006-O01,"[""S006-WAT-01"", ""S006-MED-01"", ""S006-WAT-02"", ""S006-HYG-01"", ""S006-WAT-03""]",0.0,450.0,1495.559526,2.4535365881000235,0.6933079264874971
T002,B,U05,BAT-B-01,O01-S014-O01,"[""S014-MED-01"", ""S014-WAT-01"", ""S014-FOD-01""]",0.0,390.0,1869.752195,2.1403030047614893,0.4649242488096277
T003,C,U08,BAT-C-02,O01-S007-O01,"[""S007-MED-01"", ""S007-WAT-01"", ""S007-WAT-02"", ""S007-FOD-01"", ""S007-HYG-01""]",0.0,450.0,1907.575448,3.4108701395927064,0.5736412325509117
T004,B,U06,BAT-B-02,O01-S013-O01,"[""S013-MED-01"", ""S013-WAT-01"", ""S013-FOD-01""]",0.0,390.0,1510.47028,1.8247182633032644,0.5438204341741839
T005,C,U07,BAT-C-03,O01-S001-O01,"[""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-07"", ""S001-WAT-04"", ""S001-WAT-08""]",1495.559526,1975.559526,2989.729918,2.5211546508323,0.6848556686459625
T006,A,U01,BAT-A-01,O01-S010-O01,"[""S010-WAT-01"", ""S010-MED-01""]",0.0,360.0,1654.859398,1.954809785440372,0.5655978254576951
T007,C,U08,BAT-C-04,O01-S002-O01,"[""S002-MED-01"", ""S002-WAT-01"", ""S002-WAT-03"", ""S002-WAT-04"", ""S002-FOD-02"", ""S002-WAT-02""]",1907.575448,2387.575448,4015.387466,6.280782227150773,0.21490222160615335
T008,B,U06,BAT-B-03,O01-S012-O01,"[""S012-WAT-01"", ""S012-MED-01"", ""S012-FOD-01""]",1510.47028,1900.47028,3433.204836,2.7523544419020274,0.31191138952449315
T009,A,U02,BAT-A-02,O01-S015-O01,"[""S015-MED-01"", ""S015-FOD-01""]",0.0,360.0,1968.604336,2.3923327310224494,0.4683705042172335
T010,A,U03,BAT-A-03,O01-S008-O01,"[""S008-WAT-02"", ""S008-MED-01""]",0.0,360.0,2171.146129,3.1999017422435347,0.28891072394588113
T011,C,U07,BAT-C-01,O01-S004-O01,"[""S004-WAT-01"", ""S004-MED-01"", ""S004-FOD-01"", ""S004-WAT-02"", ""S004-HYG-01"", ""S004-WAT-03""]",5313.392352,5793.392352,7614.453418,6.152897007997539,0.23088787400030764
T012,C,U08,BAT-C-02,O01-S003-O01,"[""S003-MED-01"", ""S003-WAT-01"", ""S003-WAT-04"", ""S003-WAT-03"", ""S003-FOD-01"", ""S003-HYG-01"", ""S003-FOD-02""]",4015.387466,4525.387466,6517.498611,6.324084213938969,0.2094894732576289
T013,B,U05,BAT-B-04,O01-S011-O01,"[""S011-WAT-01"", ""S011-MED-01"", ""S011-FOD-01""]",1869.752195,2259.752195,3058.175845,1.0739337252090841,0.731516568697729
T014,B,U05,BAT-B-02,O01-S009-O01,"[""S009-WAT-01"", ""S009-MED-01"", ""S009-FOD-01""]",3058.175845,3448.175845,4616.618092,2.096210537071613,0.4759473657320967
T015,C,U08,BAT-C-03,O01-S005-O01,"[""S005-WAT-01"", ""S005-WAT-02"", ""S005-HYG-01""]",6518.453418,6908.453418,8197.648577,3.647402293352414,0.5440747133309483
T016,A,U04,BAT-A-04,O01-S001-O01,"[""S001-WAT-03"", ""S001-FOD-03""]",0.0,360.0,1250.901145,1.2823246082350366,0.7150389759477697
T017,B,U06,BAT-B-01,O01-S002-O01,"[""S002-FOD-01"", ""S002-HYG-01""]",3463.883497,3823.883497,5220.577431,2.3612355046008355,0.4096911238497911
T018,A,U04,BAT-A-05,O01-S001-O01,"[""S001-WAT-02"", ""S001-FOD-01""]",1250.901145,1610.901145,2501.802291,1.2823246082350366,0.7150389759477697
T019,A,U01,BAT-A-06,O01-S006-S003-O01,"[""S003-WAT-02"", ""S006-FOD-01""]",1654.859398,2014.859398,4239.208147,3.1901692135511874,0.2910735080997361
T020,A,U02,BAT-A-04,O01-S001-O01,"[""S001-WAT-05"", ""S001-FOD-02""]",2121.350477,2481.350477,3372.251622,1.2823246082350366,0.7150389759477697
T021,A,U03,BAT-A-01,O01-S001-S010-O01,"[""S010-FOD-01"", ""S001-WAT-06""]",2719.582225,3079.582225,4751.356595,2.3582581405007916,0.4759426354442685
T022,B,U05,BAT-B-04,O01-S005-S008-O01,"[""S008-HYG-01"", ""S005-FOD-01""]",4616.618092,4976.618092,6776.454099,2.6101663401925275,0.34745841495186813
T023,A,U04,BAT-A-02,O01-S005-O01,"[""S005-MED-01"", ""S005-WAT-03""]",3159.722681,3519.722681,4851.918933,2.121305074038941,0.5285988724357908
T024,B,U06,BAT-B-03,O01-S001-O01,"[""S001-HYG-02"", ""S001-HYG-01""]",5292.558428,5652.558428,6441.65995,0.9898697082517411,0.7525325729370647
T025,A,U02,BAT-A-05,O01-S008-O01,"[""S008-WAT-01"", ""S008-FOD-01""]",3372.251622,3732.251622,5543.397751,3.308427818047446,0.2647938182116787
T026,A,U01,BAT-A-03,O01-S015-O01,"[""S015-WAT-01""]",4239.208147,4569.208147,6147.812484,2.429272002609023,0.4601617771979949
