架次号,服务区,机型,货箱编号,载质量_kg,体积_m3,能耗_kWh,返航SOC_pct
Q1-001,S001,C,"S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03, S001-FOD-01, S001-FOD-02, S001-HYG-01, S001-HYG-02",76,0.231,2.9176,63.53
Q1-002,S001,C,"S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08, S001-FOD-03",78,0.163,2.9957,62.55
Q1-003,S002,B,"S002-MED-01, S002-WAT-01, S002-FOD-01",25,0.067,2.7134,32.17
Q1-004,S002,C,"S002-WAT-02, S002-WAT-03, S002-WAT-04, S002-FOD-02, S002-HYG-01",56,0.144,5.7212,28.49
Q1-005,S003,B,"S003-MED-01, S003-WAT-01, S003-FOD-01",25,0.067,2.7799,30.5
Q1-006,S003,C,"S003-WAT-02, S003-WAT-03, S003-WAT-04, S003-FOD-02, S003-HYG-01",56,0.144,5.765,27.94
Q1-007,S004,C,"S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03, S004-FOD-01, S004-HYG-01",59,0.156,6.1529,23.09
Q1-008,S005,C,"S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03, S005-FOD-01, S005-HYG-01",59,0.156,4.2222,47.22
Q1-009,S006,C,"S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03, S006-FOD-01, S006-HYG-01",59,0.156,2.598,67.53
Q1-010,S007,C,"S007-MED-01, S007-WAT-01, S007-WAT-02, S007-FOD-01, S007-HYG-01",45,0.129,3.4109,57.36
Q1-011,S008,C,"S008-MED-01, S008-WAT-01, S008-WAT-02, S008-FOD-01, S008-HYG-01",45,0.129,5.836,27.05
Q1-012,S009,B,"S009-MED-01, S009-WAT-01, S009-FOD-01",25,0.067,2.0962,47.59
Q1-013,S010,B,"S010-MED-01, S010-WAT-01, S010-FOD-01",25,0.067,1.8231,54.42
Q1-014,S011,B,"S011-MED-01, S011-WAT-01, S011-FOD-01",25,0.067,1.0739,73.15
Q1-015,S012,B,"S012-MED-01, S012-WAT-01, S012-FOD-01",25,0.067,2.7524,31.19
Q1-016,S013,B,"S013-MED-01, S013-WAT-01, S013-FOD-01",25,0.067,1.8247,54.38
Q1-017,S014,B,"S014-MED-01, S014-WAT-01, S014-FOD-01",25,0.067,2.1403,46.49
Q1-018,S015,B,"S015-MED-01, S015-WAT-01, S015-FOD-01",25,0.067,2.3074,42.31
